IMF_Num,Time_Steps,Batch_Size,Hidden_Dim,LR,Best100_RMSE,Best100_MAE,Best100_R2
6,48,64,64,0.001,0.9275018999955634,0.7720201469416134,0.9697402793862531
6,48,64,64,0.005,0.9646172746703036,0.7621405347275737,0.9673455925278682
6,48,64,128,0.001,1.1817573905607937,0.9025804051878302,0.8644038100492119
6,48,64,128,0.005,0.89287738448317,0.671711141748667,0.9719848190722956
6,48,128,64,0.001,1.0484103402947478,0.873174293573201,0.9614260308533275
6,48,128,64,0.005,1.3477001982064625,1.206894121139318,0.9081866922581455
6,48,128,128,0.001,1.0345742717153972,0.7763749797588286,0.8960764004901387
6,48,128,128,0.005,0.9108265091194707,0.6866884943037033,0.9351126437175659
6,96,16,64,0.001,0.9971067964239276,0.7450793089687825,0.9239173256816984
6,96,16,64,0.005,1.2432235824919349,1.0221517679139673,0.8499315793880504
6,96,16,128,0.001,1.0609090386563533,0.9213963557787354,0.960651404646864
6,96,16,128,0.005,0.990800165580404,0.795516065352589,0.9237007320191688
6,96,32,64,0.001,0.9980966026035938,0.8565651987543107,0.9650395598249937
6,96,32,64,0.005,0.9236557295832064,0.7517953583960534,0.9700446280378159
6,96,32,128,0.001,1.048515221435477,0.9303790313823225,0.9614183127221864
6,96,32,128,0.005,1.1198564299267648,0.8789898625884055,0.8782369470522918
6,96,64,64,0.001,0.919459996809224,0.7553462512701752,0.9703313752608373
6,96,64,64,0.005,0.9952782025328885,0.8507834216523171,0.9651904209699336
6,96,64,128,0.001,1.1789443735392902,1.0335817120375634,0.951222631617987
6,96,64,128,0.005,0.9672967756997383,0.7937825199550984,0.9686065015852424
6,96,128,64,0.001,1.002470406109786,0.752175088778615,0.9647229350067082
6,96,128,64,0.005,0.9232393037886182,0.7749247929684521,0.9700177744014816
6,96,128,128,0.001,0.9185652888173649,0.6545020551030638,0.9703738975958435
6,96,128,128,0.005,1.0297169949147933,0.822031686775863,0.9644240917807645
